Marital status,Application mode,Application order,Course,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Daytime/evening attendance
single,17,5,Animation and Multimedia Design,Secondary education,122,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other - 11th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,127.3,yes,no,no,yes,male,no,20,yes,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout,daytime
single,15,1,Tourism,Secondary education,160,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,142.5,yes,no,no,no,male,no,19,yes,0,6,6,6,14,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,Graduate,daytime
single,1,5,Communication Design,Secondary education,122,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,124.8,yes,no,no,no,male,no,19,yes,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout,daytime
single,17,2,Journalism and Communication,Secondary education,122,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,119.6,yes,no,no,yes,female,no,20,yes,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,daytime
married,39,1,Social Service (evening attendance),Secondary education,100,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,141.5,no,no,no,yes,female,no,45,yes,0,6,9,5,12.33333333,0,0,6,6,6,13,0,13.9,-0.3,0.79,Graduate,evening
married,39,1,Management (evening attendance),Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",114.8,no,no,yes,yes,male,no,50,yes,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,evening
single,1,1,Nursing,Secondary education,142,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,128.4,yes,no,no,yes,female,yes,18,yes,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,daytime
single,18,4,Tourism,Secondary education,119,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,113.1,yes,no,no,no,male,no,22,yes,0,5,5,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,Dropout,daytime
single,1,3,Social Service,Secondary education,137,Romanian,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,129.3,no,no,no,yes,female,yes,21,no,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92,Graduate,daytime
single,1,1,Social Service,Secondary education,138,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",123,yes,no,yes,no,female,no,18,yes,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,daytime
